Sort algorithm time record(Millisecond):
Data size,mergeSort,mergeSortNotOpt,radixSort,sort(STL),quickSort,quickStNotOpt,heapSort,shellSort,insertionSort,bubbleSort,selectionSort
23800,0.810111,0.94199,1.40772,1.01125,1.10933,1.46757,1.97901,1.99259
23900,0.828951,0.926475,1.3706,1.01707,1.15144,1.42739,2.03193,1.98594
24000,0.816761,0.920934,1.37863,1.02954,1.24454,1.90282,2.05409,1.99369
24100,0.821748,0.935064,1.38888,1.03259,1.13704,1.42324,2.04162,1.98012
24200,0.830891,0.938665,1.39054,1.04422,1.88453,1.46784,1.99397,1.98095
24300,0.825904,0.928691,1.38556,1.04478,1.15976,1.47172,2.0552,2.0757
24400,0.833107,0.948639,1.43127,1.06805,1.18497,1.55761,2.00201,2.04689
24500,0.829228,0.935064,1.45233,1.04976,1.12956,1.43792,2.03802,2.04827
24600,0.853332,0.953072,1.4418,1.06085,1.16973,1.833,2.03165,2.04329
24700,0.837263,0.941159,1.42462,1.05558,1.17222,1.50552,2.12446,2.05354
24800,0.837263,0.951687,1.42268,1.06251,1.26975,1.87234,2.05271,2.06324
24900,0.846129,0.951964,1.43681,1.07609,1.16363,1.50497,2.09842,2.07543
25000,0.851393,0.962492,1.43737,1.07193,1.23955,1.62299,2.0588,2.08346
25100,0.853332,0.989921,1.46396,1.09714,1.31491,1.5396,2.0793,2.12336
25200,0.859704,0.966371,1.4925,1.09492,1.18469,1.5227,2.10285,2.12613
25300,0.876605,0.988258,1.45731,1.0855,1.20159,1.51993,2.19317,2.20259
25400,0.867462,0.992968,1.46701,1.09603,1.25063,1.72052,2.2001,2.13804
25500,0.868016,1.0035,1.4864,1.09963,1.39054,1.54237,2.1059,2.1893
25600,0.887964,1.02067,1.48419,1.11432,1.30909,1.49749,2.14995,2.18569
25700,0.874111,1.00959,1.51466,1.12485,1.48114,1.53544,2.15272,2.17766
25800,0.897661,1.0046,1.48668,1.11044,1.25866,1.78452,2.16381,2.20536
25900,0.883254,1.01901,1.70112,1.11931,1.30909,1.55872,2.26687,2.23002
26000,0.882977,0.999341,1.48862,1.12263,1.28886,1.76762,2.13167,2.24969
26100,0.902648,1.12069,1.73548,1.12817,1.34871,1.57811,2.1602,2.24083
26200,0.898215,1.01763,1.51605,1.12762,1.38528,1.55345,2.25163,2.23556
26300,0.908466,1.02705,1.50829,1.13565,1.29274,1.62632,2.20232,2.26715
26400,0.905696,1.02566,1.51605,1.14064,1.22597,1.55705,2.30954,2.27269
26500,0.907358,1.02067,1.51466,1.15255,1.34261,1.92859,2.24803,2.28599
26600,0.91096,1.07276,1.53461,1.17305,1.33929,1.59307,2.21312,2.27491
26700,0.920934,1.03785,1.53711,1.15671,1.29773,1.69891,2.2882,2.31092
